pk;item_variation_id;price
1;HUBEJWTLKKFIDF44QW2HBRO3;999
2;JC64DR2DD53P7EI22NO2BXFC;1199
3;C3BP3A3XZVBWMYM7IGOPJBTT;1199
4;I32YTPSVMH6M42USIKVMDCGG;999
5;W72NVNO3TS2M2BRDG5WDPGP6;1199
6;YIPQJTL3H7TNUWEYNMFHXC6C;999
7;IC3Y75PZ7UCTCBORGA5BRAKB;2199
8;7KZJENP7NXKAFDV44KGTWYEZ;399
9;LKYLGBMJ46SLHIPRMXCJZTUT;469
10;IEG6TJXRZTLKTDTIS7BSS4FI;1200
11;JHQWH2673KAEKNWEBNHEDB7R;299
12;NYLEKGB6T3I627RJLBKUCG7F;1
13;LKCMFTLFLSTNB5PAJ52YICFL;2299
14;WS2H33Q46A3QCRBQ7ER657GF;4499
15;6SDI5EJRAV4TSY23FVLTJ4E2;1599
16;VZF3PVS63BC5GSDDA7LNBAXS;499
17;ATXKTGOSDXCC5CWTGEG7IXGR;1
18;FBDY23F2LGLYV5D4E4GQDNGT;175
19;GDW6LEBXNOMDX3UTAD6IMPVX;1499
20;OLZ4L2TUISJQHNPTQL26U4ZC;1100
21;6OYSKKVD45JXGAALXU3VLGWY;899
22;S4F2TZRUW56S4VFBKAW2A52P;469
23;FI65XNKFX6KYX2N3I56JLDA5;1599
24;RAYWZ25PUSDESZF6DBHHUZ7S;1
25;YWG6WKJWBD3OSAK3AP6XJXAR;2299
26;MXJDGGFE73STQFYO3ML44TN3;3299
27;SVKXBSHWE5AF76Z7ZFGMIKGM;1
28;GMUPUR2GW7VSDO7VWLTV3IOO;349
29;2SYNZ7XWAESS4GVLYX5LCHP3;1599
30;CBAHSJPCYXW56DZXOIYP6PAT;2299
31;FXH7VBO4X4UJCVCXKBOW2V2F;1399
32;7FF3DDNDNSGV2N6Q7FDRVWME;1399
33;5TLGFSBYL2W4POCVGMHUNTBE;399
34;IQG4635VURJ237GCX23EFRWJ;289
35;LLFSLCRIVFYPFIPTL2T7ULEE;899
36;V7IK255RP2YPYRIHYZMJK5BD;499
37;XFITVAY6M5L7CQ5GPVGNUJ2T;999
38;EPCEV4BBKBB2ZV7ZA32FXZKD;3299
39;VTLZ5SVBGSSKYYUJFVPEFLRD;175
40;A3GLZZQK7JQXMMEZ3VESVREU;3299
41;ECI56FTC7POCZGZCS67RJCWR;399
42;RIJDKTY2DGVWASU4ZQYHA4FY;2299
43;PKRRTSPFKYHIGYSDOAY5AVXI;999
44;6HIPJJMKOTJULGTMVA2KZFIY;1
45;JHHS3KTTXT6PWFNJX5EIZO67;175
46;TA7J5HULBR723VUS6LG4N3PW;1299
47;BWE6QQ6H34QPN35WLBL6BIEV;1799
48;NGKSMNRBUS36OA235QMBT4XO;299
49;5337XDJUVNH5EPMZJZNLLFRU;2299
50;KYDKEBLHK7YVM2U7XET3MD24;469
51;UDPVXHRL4IDWGFEE3CKKH2KG;4699
