pk;amount
1;25
2;25
3;0
4;25
5;0
6;100
7;0
8;0
9;0
10;25
11;0
12;25
13;100
14;0
15;250
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;150
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;50
33;50
34;50
35;50
36;50
37;50
38;50
39;50
40;50
41;50
42;50
43;50
44;100
45;100
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;75
62;100
63;300
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;150
81;150
82;250
83;250
84;250
85;0
86;0
87;0
88;0
89;300
90;0
91;50
92;50
93;50
94;50
95;50
96;50
97;299
98;0
99;299
100;0
101;0
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;50
120;175
121;300
122;175
123;175
124;175
125;175
126;175
127;175
128;175
129;175
130;300
131;250
132;250
133;0
134;0
135;0
136;0
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;579
151;689
152;799
153;0
154;0
155;0
156;450
157;350
158;250
159;275
160;475
161;375
162;0
163;0
164;0
165;0
166;0
167;0
168;150
169;150
170;525
171;475
172;675
173;425
174;375
175;475
176;400
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;100
194;150
195;150
196;150
197;150
198;0
199;0
200;0
201;0
202;0
203;100
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;250
215;400
216;250
217;350
218;350
219;350
222;25
223;300
